	Country	Year	Obesity(%)	Sex
45	Afghanistan	1990	1.3 [0.7-2.3]	Both sexes
46	Afghanistan	1990	0.6 [0.2-1.4]	Male
47	Afghanistan	1990	1.9 [0.9-3.7]	Female
48	Afghanistan	1991	1.4 [0.7-2.4]	Both sexes
49	Afghanistan	1991	0.6 [0.2-1.5]	Male
50	Afghanistan	1991	2.1 [0.9-3.9]	Female
51	Afghanistan	1992	1.5 [0.8-2.5]	Both sexes
52	Afghanistan	1992	0.7 [0.2-1.6]	Male
53	Afghanistan	1992	2.2 [1.0-4.1]	Female
54	Afghanistan	1993	1.5 [0.8-2.6]	Both sexes
55	Afghanistan	1993	0.7 [0.2-1.7]	Male
56	Afghanistan	1993	2.3 [1.1-4.3]	Female
57	Afghanistan	1994	1.6 [0.9-2.8]	Both sexes
58	Afghanistan	1994	0.8 [0.3-1.8]	Male
59	Afghanistan	1994	2.4 [1.2-4.5]	Female
60	Afghanistan	1995	1.7 [1.0-2.9]	Both sexes
61	Afghanistan	1995	0.8 [0.3-1.9]	Male
62	Afghanistan	1995	2.6 [1.2-4.7]	Female
63	Afghanistan	1996	1.8 [1.0-3.0]	Both sexes
64	Afghanistan	1996	0.9 [0.3-2.0]	Male
65	Afghanistan	1996	2.7 [1.3-4.9]	Female
66	Afghanistan	1997	1.9 [1.1-3.2]	Both sexes
67	Afghanistan	1997	1.0 [0.4-2.1]	Male
68	Afghanistan	1997	2.9 [1.4-5.1]	Female
69	Afghanistan	1998	2.1 [1.2-3.3]	Both sexes
70	Afghanistan	1998	1.0 [0.4-2.2]	Male
71	Afghanistan	1998	3.0 [1.5-5.4]	Female
72	Afghanistan	1999	2.2 [1.3-3.5]	Both sexes
73	Afghanistan	1999	1.1 [0.4-2.4]	Male
74	Afghanistan	1999	3.2 [1.6-5.6]	Female
75	Afghanistan	2000	2.3 [1.3-3.7]	Both sexes
76	Afghanistan	2000	1.2 [0.4-2.5]	Male
77	Afghanistan	2000	3.4 [1.8-5.9]	Female
78	Afghanistan	2001	2.4 [1.4-3.8]	Both sexes
79	Afghanistan	2001	1.3 [0.5-2.7]	Male
80	Afghanistan	2001	3.6 [1.9-6.2]	Female
81	Afghanistan	2002	2.6 [1.5-4.0]	Both sexes
82	Afghanistan	2002	1.3 [0.5-2.8]	Male
83	Afghanistan	2002	3.8 [2.0-6.4]	Female
84	Afghanistan	2003	2.7 [1.6-4.2]	Both sexes
85	Afghanistan	2003	1.4 [0.6-3.0]	Male
86	Afghanistan	2003	4.0 [2.1-6.7]	Female
87	Afghanistan	2004	2.9 [1.7-4.4]	Both sexes
88	Afghanistan	2004	1.5 [0.6-3.1]	Male
89	Afghanistan	2004	4.2 [2.3-7.0]	Female
90	Afghanistan	2005	3.0 [1.9-4.6]	Both sexes
91	Afghanistan	2005	1.6 [0.7-3.3]	Male
92	Afghanistan	2005	4.4 [2.4-7.3]	Female
93	Afghanistan	2006	3.2 [2.0-4.9]	Both sexes
94	Afghanistan	2006	1.7 [0.7-3.5]	Male
95	Afghanistan	2006	4.7 [2.6-7.7]	Female
96	Afghanistan	2007	3.4 [2.1-5.1]	Both sexes
97	Afghanistan	2007	1.8 [0.8-3.7]	Male
98	Afghanistan	2007	4.9 [2.8-8.0]	Female
99	Afghanistan	2008	3.6 [2.2-5.4]	Both sexes
100	Afghanistan	2008	2.0 [0.8-3.9]	Male
101	Afghanistan	2008	5.2 [2.9-8.4]	Female
102	Afghanistan	2009	3.8 [2.4-5.6]	Both sexes
103	Afghanistan	2009	2.1 [0.9-4.2]	Male
104	Afghanistan	2009	5.4 [3.1-8.8]	Female
105	Afghanistan	2010	4.0 [2.5-5.9]	Both sexes
106	Afghanistan	2010	2.2 [1.0-4.4]	Male
107	Afghanistan	2010	5.7 [3.3-9.2]	Female
108	Afghanistan	2011	4.2 [2.6-6.2]	Both sexes
109	Afghanistan	2011	2.4 [1.0-4.7]	Male
110	Afghanistan	2011	6.0 [3.4-9.7]	Female
111	Afghanistan	2012	4.4 [2.8-6.6]	Both sexes
112	Afghanistan	2012	2.5 [1.1-5.0]	Male
113	Afghanistan	2012	6.3 [3.6-10.2]	Female
114	Afghanistan	2013	4.7 [2.9-6.9]	Both sexes
115	Afghanistan	2013	2.7 [1.1-5.3]	Male
116	Afghanistan	2013	6.6 [3.8-10.7]	Female
117	Afghanistan	2014	4.9 [3.1-7.3]	Both sexes
118	Afghanistan	2014	2.8 [1.2-5.6]	Male
119	Afghanistan	2014	7.0 [4.0-11.3]	Female
120	Afghanistan	2015	5.2 [3.3-7.7]	Both sexes
121	Afghanistan	2015	3.0 [1.3-6.0]	Male
122	Afghanistan	2015	7.3 [4.1-11.8]	Female
123	Afghanistan	2016	5.5 [3.4-8.1]	Both sexes
124	Afghanistan	2016	3.2 [1.3-6.4]	Male
125	Afghanistan	2016	7.6 [4.3-12.4]	Female
